# chirpmass               merger_rate
1.247055056329611888e+00 4.484248752536331608e+02
1.257055056329611897e+00 4.401023475077865328e+02
1.267055056329611906e+00 4.319341018098195377e+02
1.277055056329611915e+00 4.239172815706523920e+02
1.287055056329611702e+00 4.160490830250564045e+02
1.297055056329611711e+00 4.083267542561247296e+02
1.307055056329611720e+00 4.007475942377348019e+02
1.317055056329611729e+00 3.933089518946707699e+02
1.327055056329611737e+00 3.860082251800787390e+02
1.337055056329611746e+00 3.788428601699387741e+02
1.347055056329611755e+00 3.718103501742394315e+02
1.357055056329611764e+00 3.649082348645436014e+02
1.367055056329611773e+00 3.581340994176493950e+02
1.377055056329611782e+00 3.514855736750467372e+02
1.387055056329611791e+00 3.449603313178760686e+02
1.397055056329611800e+00 3.387733822481180823e+02
1.407055056329611809e+00 3.330230808676740253e+02
1.417055056329611817e+00 3.273663108511037763e+02
1.427055056329611826e+00 3.218016403769960903e+02
1.437055056329611835e+00 3.163276576838201208e+02
1.447055056329611844e+00 3.109429708245381221e+02
1.457055056329611631e+00 3.056462074236154649e+02
1.467055056329611640e+00 3.004360144364167695e+02
1.477055056329611649e+00 2.953110579109688842e+02
1.487055056329611658e+00 2.902700227520771250e+02
1.497055056329611666e+00 2.853116124877781203e+02
1.507055056329611675e+00 2.815579896918700342e+02
1.517055056329611684e+00 2.795071652688777135e+02
1.527055056329611693e+00 2.774702804763729205e+02
1.537055056329611702e+00 2.754472458666052148e+02
1.547055056329611711e+00 2.734379725498885136e+02
1.557055056329611720e+00 2.714423721910962968e+02
1.567055056329611729e+00 2.694603570061807432e+02
1.577055056329611737e+00 2.674918397587138088e+02
1.587055056329611746e+00 2.655367337564488821e+02
1.597055056329611755e+00 2.635949528479056312e+02
1.607055056329611542e+00 2.616664114189765087e+02
1.617055056329611551e+00 2.597510243895533222e+02
1.627055056329611560e+00 2.578487072101764284e+02
1.637055056329611569e+00 2.559593758587055845e+02
1.647055056329611578e+00 2.540829468370105531e+02
1.657055056329611586e+00 2.518980124818623096e+02
1.667055056329611595e+00 2.496921569548178184e+02
1.677055056329611604e+00 2.475006475022665029e+02
1.687055056329611613e+00 2.453234189673129038e+02
1.697055056329611622e+00 2.431604066731379135e+02
1.707055056329611631e+00 2.410115464162577723e+02
1.717055056329611640e+00 2.388767744597689386e+02
1.727055056329611649e+00 2.367560275265763607e+02
1.737055056329611658e+00 2.346492427926104085e+02
1.747055056329611666e+00 2.325563578800307312e+02
1.757055056329611675e+00 2.304773108504181494e+02
1.767055056329611684e+00 2.284120401979561450e+02
1.777055056329611471e+00 2.263604848426040803e+02
1.787055056329611480e+00 2.243225841232593609e+02
1.797055056329611489e+00 2.222982777909151082e+02
1.807055056329611498e+00 2.202875060018098168e+02
1.817055056329611507e+00 2.182902093105722940e+02
1.827055056329611515e+00 2.163063286633631037e+02
1.837055056329611524e+00 2.143358053910135936e+02
1.847055056329611533e+00 2.123785812021621382e+02
1.857055056329611542e+00 2.104345981763927682e+02
1.867055056329611551e+00 2.085037987573723797e+02
1.877055056329611560e+00 2.065861257459929448e+02
1.887055056329611569e+00 2.046815222935163376e+02
1.897055056329611578e+00 2.027899318947252425e+02
1.907055056329611586e+00 2.009112983810807975e+02
1.917055056329611595e+00 1.990455659138892770e+02
1.927055056329611382e+00 1.971926789774773283e+02
1.937055056329611391e+00 1.953525823723807662e+02
1.947055056329611400e+00 1.935252212085448775e+02
1.957055056329611409e+00 1.917105408985400459e+02
1.967055056329611418e+00 1.899084871507936043e+02
1.977055056329611427e+00 1.881190059628402196e+02
1.987055056329611435e+00 1.863420436145910628e+02
1.997055056329611444e+00 1.845775466616246945e+02
2.007055056329611453e+00 1.828254619285021363e+02
2.017055056329611240e+00 1.810857365021050214e+02
2.027055056329611471e+00 1.793583177250014273e+02
2.037055056329611702e+00 1.776431531888406710e+02
2.047055056329611489e+00 1.759401907277767805e+02
2.057055056329611276e+00 1.742493784119259033e+02
2.067055056329611507e+00 1.725706645408555460e+02
2.077055056329611737e+00 1.709039976371115017e+02
2.087055056329611524e+00 1.692493264397818109e+02
2.097055056329611311e+00 1.676065998980988638e+02
2.107055056329611542e+00 1.659757671650848465e+02
2.117055056329611329e+00 1.643567775912397337e+02
